대여소번호,대여소명,거치대수,주소,위도,경도,구
1822.0,서울 시흥동우체국 앞,10,서울특별시 금천구 시흥대로 217 시흥동 1000-71,37.45299149,126.90090942,금천구
1823.0,상신정비공업 앞,20,서울특별시 금천구 시흥대로 287 독산동 1080-8,37.4589119,126.89859009,금천구
1824.0,독산근린공원 입구,15,서울특별시 금천구 독산동 독산동 1086 (금천교 사거리 독산근린공원 입구),37.46455002,126.88372803,금천구
1825.0,한신아파트 앞 육교 아래,10,서울특별시 금천구 금하로1길 70 독산동 1094 (성민성결교회 앞),37.45470047,126.89105225,금천구
1826.0,한신코아 앞,20,서울특별시 금천구 한내로 62 독산동 1092 (도로다이어트 사업으로 보도 확장예정),37.45684052,126.88834381,금천구
1827.0,독산보도육교 앞 자전거 보관소,20,서울특별시 금천구 서부샛길 70 독산동 724-5 (자전거종합서비스센터 앞쪽),37.45584869,126.8931427,금천구
1828.0,한양수자인아파트 앞,10,서울특별시 금천구 시흥대로150길 6 독산동 996-9,37.47531891,126.89888763,금천구
1829.0,홈플러스 금천점 앞,10,서울특별시 금천구 시흥대로 391 독산동 291-4,37.4691391,126.89720154,금천구
183.0,하늘채코오롱아파트 건너편,15,서울특별시 마포구 연남로 30 하늘채코오롱아파트 건너편,37.56516647,126.91939545,마포구
1830.0,빅마켓 금천점 앞,15,서울특별시 금천구 두산로 71 독산동 295-22,37.4702301,126.89507294,금천구
1831.0,메이퀸웨딩컨벤션 앞,10,서울특별시 금천구 시흥대로 435 독산동 152-12,37.47249985,126.89795685,금천구
1833.0,독산역 1번출구 앞 자전거보관소,10,"서울특별시 금천구 벚꽃로 115 독산동 1081-9 (금천고가차도 하부, 태영아파트 앞)",37.46654129,126.89028168,금천구
1834.0,월드메르디앙 벤처센터 2차,15,서울특별시 금천구 가산디지털2로 123 가산동 450-2,37.47908401,126.87904358,금천구
1835.0,STX V타워,10,서울특별시 금천구 가산디지털1로 128 가산동 371-37,37.47706985,126.88442993,금천구
1836.0,금천구립 독산도서관,7,서울특별시 금천구 독산로54길 114 독산동 375-2,37.46740341,126.90814209,금천구
1839.0,수출의 다리 아래,20,서울특별시 가산동 60-35 수출의 다리 아래,37.47705841,126.88518524,금천구
184.0,SK망원동주유소 건너편,9,서울특별시 마포구 월드컵로 119  SK망원동주유소 건너편,37.55894852,126.90775299,마포구
1840.0,솔브레인이엔지 뒤편,20,서울특별시 가산동 219-18 솔브레인이엔지 뒤편,37.47510147,126.88806915,금천구
1841.0,가산동 주민센터,10,서울특별시 가산동 144-3 가산동 주민센터,37.4769516,126.89186859,금천구
1842.0,한울중학교,15,서울특별시 시흥동 1000-3 한울중학교,37.46257401,126.90686035,금천구
1843.0,독산고등학교,10,서울특별시 독산동 906-42 독산고등학교,37.47709656,126.91113281,금천구
1845.0,롯데캐슬골드파크1차 서문,15,서울특별시 금천구 벚꽃로40 롯데캐슬골드파크1차 서문,37.460289,126.89218903,금천구
1846.0,롯데캐슬골드파크1차 동문,15,서울특별시 금천구 독산동 441-19 롯데캐슬골드파크1차 동문,37.46017075,126.89604187,금천구
1847.0,독산주공 14단지 버스정류소,10,서울특별시 금천구 안양천로 독산주공 14단지 버스정류소,37.46103287,126.88710022,금천구
